"aav","Austro-Asiatic languages","austro-asiatiques, langues"
"afa","Afro-Asiatic languages","afro-asiatiques, langues"
"alg","Algonquian languages","algonquines, langues"
"alv","Atlantic-Congo languages","atlantique-congo, langues"
"apa","Apache languages","apaches, langues"
"aqa","Alacalufan languages","alacalufanes, langues"
"aql","Algic languages","algiques, langues"
"art","Artificial languages","artificielles, langues"
"ath","Athapascan languages","athapascanes, langues"
"auf","Arauan languages","arauanes, langues"
"aus","Australian languages","australiennes, langues"
"awd","Arawakan languages","arawak, langues"
"azc","Uto-Aztecan languages","uto-aztèques, langues"
"bad","Banda languages","banda, langues"
"bai","Bamileke languages","bamiléké, langues"
"bat","Baltic languages","baltes, langues"
"ber","Berber languages","berbères, langues"
"bih","Bihari languages","langues biharis"
"bnt","Bantu languages","bantou, langues"
"btk","Batak languages","batak, langues"
"cai","Central American Indian languages","amérindiennes de l'Amérique centrale, langues"
"cau","Caucasian languages","caucasiennes, langues"
"cba","Chibchan languages","chibcha, langues"
"ccn","North Caucasian languages","caucasiennes du Nord, langues"
"ccs","South Caucasian languages","caucasiennes du Sud, langues"
"cdc","Chadic languages","tchadiques, langues"
"cdd","Caddoan languages","caddoanes, langues"
"cel","Celtic languages","celtiques, langues; celtes, langues"
"cmc","Chamic languages","chames, langues"
"cpe","Creoles and pidgins, English‑based","créoles et pidgins basés sur l'anglais"
"cpf","Creoles and pidgins, French‑based","créoles et pidgins basés sur le français"
"cpp","Creoles and pidgins, Portuguese-based","créoles et pidgins basés sur le portugais"
"crp","Creoles and pidgins","créoles et pidgins"
"csu","Central Sudanic languages","soudaniques centrales, langues"
"cus","Cushitic languages","couchitiques, langues"
"day","Land Dayak languages","dayak, langues"
"dmn","Mande languages","mandé, langues"
"dra","Dravidian languages","dravidiennes, langues"
"egx","Egyptian languages","égyptiennes, langues"
"esx","Eskimo-Aleut languages","esquimaudes-aléoutiennes, langues"
"euq","Basque (family)","basque (famille)"
"fiu","Finno-Ugrian languages","finno-ougriennes, langues"
"fox","Formosan languages","formosanes, langues"
"gem","Germanic languages","germaniques, langues"
"gme","East Germanic languages","germaniques orientales, langues"
"gmq","North Germanic languages","germaniques septentrionales, langues"
"gmw","West Germanic languages","germaniques occidentales, langues"
"grk","Greek languages","grecques, langues"
"hmx","Hmong-Mien languages","hmong-mien, langues"
"hok","Hokan languages","hoka, langues"
"hyx","Armenian (family)","arménien (famille)"
"iir","Indo-Iranian languages","indo-iraniennes, langues"
"ijo","Ijo languages","ijo, langues"
"inc","Indic languages","indo-aryennes, langues"
"ine","Indo-European languages","indo-européennes, langues"
"ira","Iranian languages","iraniennes, langues"
"iro","Iroquoian languages","iroquoises, langues"
"itc","Italic languages","italiques, langues"
"jpx","Japanese (family)","japonais (famille)"
"kar","Karen languages","karen, langues"
"kdo","Kordofanian languages","kordofaniennes, langues"
"khi","Khoisan languages","khoïsan, langues"
"kro","Kru languages","krou, langues"
"map","Austronesian languages","austronésiennes, langues"
"mkh","Mon-Khmer languages","môn-khmer, langues"
"mno","Manobo languages","manobo, langues"
"mun","Munda languages","mounda, langues"
"myn","Mayan languages","maya, langues"
"nah","Nahuatl languages","nahuatl, langues"
"nai","North American Indian languages","nord-amérindiennes, langues"
"ngf","Trans-New Guinea languages","trans-nouvelle-guinée, langues"
"nic","Niger-Kordofanian languages","nigéro-kordofaniennes, langues"
"nub","Nubian languages","nubiennes, langues"
"omq","Oto-Manguean languages","otomangue, langues"
"omv","Omotic languages","omotiques, langues"
"oto","Otomian languages","otomi, langues"
"paa","Papuan languages","papoues, langues"
"phi","Philippine languages","philippines, langues"
"plf","Central Malayo-Polynesian languages","malayo-polynésiennes centrales, langues"
"poz","Malayo-Polynesian languages","malayo-polynésiennes, langues"
"pqe","Eastern Malayo-Polynesian languages","malayo-polynésiennes orientales, langues"
"pqw","Western Malayo-Polynesian languages","malayo-polynésiennes occidentales, langues"
"pra","Prakrit languages","prâkrit, langues"
"qwe","Quechuan (family)","quechua (famille)"
"roa","Romance languages","romanes, langues"
"sai","South American Indian languages","sud-amérindiennes, langues"
"sal","Salishan languages","salishennes, langues"
"sdv","Eastern Sudanic languages","soudaniques orientales, langues"
"sem","Semitic languages","sémitiques, langues"
"sgn","sign languages","langues des signes"
"sio","Siouan languages","sioux, langues"
"sit","Sino-Tibetan languages","sino-tibétaines, langues"
"sla","Slavic languages","slaves, langues"
"smi","Sami languages","sames, langues"
"son","Songhai languages","songhai, langues"
"sqj","Albanian languages","albanaises, langues"
"ssa","Nilo-Saharan languages","nilo-sahariennes, langues"
"syd","Samoyedic languages","samoyèdes, langues"
"tai","Tai languages","tai, langues"
"tbq","Tibeto-Burman languages","tibéto-birmanes, langues"
"trk","Turkic languages","turques, langues"
"tup","Tupi languages","tupi, langues"
"tut","Altaic languages","altaïques, langues"
"tuw","Tungus languages","toungouses, langues"
"urj","Uralic languages","ouraliennes, langues"
"wak","Wakashan languages","wakashanes, langues"
"wen","Sorbian languages","sorabes, langues"
"xgn","Mongolian languages","mongoles, langues"
"xnd","Na-Dene languages","na-déné, langues"
"ypk","Yupik languages","yupik, langues"
"zhx","Chinese (family)","chinois (famille)"
"zle","East Slavic languages","slaves orientales, langues"
"zls","South Slavic languages","slaves méridionales, langues"
"zlw","West Slavic languages","slaves occidentales, langues"
"znd","Zande languages","zandé, langues"